Last,First,State,Office,District,Activity
Belvin,Kenny,NY,US Representative,16,No
Smith,Robert E.,MO,US Representative ,4,No
Hafner,Carol,WY,US Representative ,,No
Dickinson,Jerry,PA,US Representative ,18,No
Putzova,Eva,AZ,US Representative ,1,No
Treacy,Jonathan,ME,US Senator,,No
McDowell,Jan,TX,US Representative ,24,No
Chick,Cameron,NM,US Representative ,1,No
Waters,Allen,RI,US Senator,,No
Phillips,Dean,MN,US Representative ,3,Yes
Haaland,Deb,NM,US Representative ,1,Yes
Nadler,Jerry,NY,US Representative ,10,Yes
Mcgovern,James,MA,US Representative ,2,Yes
Dodds,Philip,FL,US Representative ,3,No
Biggan,John,TX,US Representative ,24,No
Larsen,Mike,OH,US Representative ,4,No
Tisdel,Kyle,NM,US Representative ,3,No
McCaffity,Sean,TX,US Representative ,3,No
Valenzuela,Candace,TX,US Representative ,24,No
Kaptur,Marcy,OH,US Representative ,9,No
Seikaly,Lulu,TX,US Representative ,3,No
Schroder,Katie,OH,US Representative,1,No
Montoya,Harry,NM,US Representative ,3,No
Beyer,Don,VA,US Representative ,8,Yes
Montoya,Laura,NM,US Representative ,3,No
Gabbard,Tulsi,HI,US Representative,2,Yes
Klobuchar,Amy,MN,US Senator,,Yes
Bennet,Michael,CO,US Senator,,Yes
Sanders,Bernie,VT,US Senator,,Yes
Warren,Elizabeth,MA,US Senator,,Yes
Ryan,Tim,OH,US Representative,13,Yes
Bullock,Steve,MT,US Senator,,No
Harris,Kamala,CA,US Senator,,Yes
Gillibrand,Kristen,NY,US Senator,,Yes
Riggs Amico,Sarah,GA,US Senator,,No
Serna,Marco,NM,US Representative,3,No
Rashid,Qasim,VA,US Representative,1,No
Enoch,Vanessa,OH,US Representative,8,No
Lesinski,John,VA,US Representative,5,No
Blair,John,NM,US Representative,3,No
Christensen,Adam,FL,US Representative,3,No
Sanchez,Joseph,NM,US Representative,3,No
Shearer,Alaina,OH,US Representative,12,No
Marx,Bill,PA,US Representative,14,No
Brown,Chance,TN,US Representative,2,No
Mohsini,Zainab,VA,US Representative,11,No
Connolly,Gerry,VA,US Representative,11,Yes
Rubando,Nick,OH,US Representative,5,No
Anderson,Rob,LA,US Representative,3,No
Bohren,Jensen,MS,US Senator,,No
Burch,Lorie,TX,US Representative,3,No
Casten,Sean,IL,US Representative,6,No
Cox,Steve,CA,US Representative,39,No
Cunningham,William,NJ,US Representative,2,No
DePaul,Monica,FL,US Representative,4,No
Dingell,Debbie,MI,US Representative,12,Yes
Duenas,Angelica,CA,US Representative,29,No
Eastman,Kara,NE,US Representative,2,No
Fernandez,Veronica,NJ,US Senator,,No
Galbraith,Allison,MD,US Representative,1,No
Guild,Thomas,OK,US Representative,5,No
Haaland,Deb,NM,US Representative,1,No
Hoyos,Renee,TN,US Representative,2,No
Kaptur,Marcy,OH,US Representative,9,Yes
Kim,Andrew,NJ ,US Representative,3,Yes
Kishineff,Jason,CA,US Representative,5,No
Malinowski,Tom,NJ,US Representative,7,No
McCormick,Lisa,NJ,US Representative,12,No
McLeod-Skinner,Jamie,OR,US Representative,2,No
Lax Miller,Loretta,FL,US Representative,15,No
Pappas,Chris,NH,US Representative,1,Yes
Porter,Steven,VA,US Representative,11,No
Raskin,Jamie,MD,US Representative,8,No
Roberts,Shawna,OH,US Representative,6,No
Shepherd,Rick,NV,US Representative,2,No
Sherman,Jayesun,MN,US Representative,7,No
Van Drew,Jeff,NJ,US Representative,2,Yes
Waters,Allen,RI,US Senator,,No
Young,Geoff,KY,US Representative,6,No
Freshour,Shannon,OH,US Representative,4,No
Holden,David,FL,US Representative,19,No
Ferguson,Dana,MI,US Representative,1,No
DiSanto,Delina,AZ,US Representative,4,No
Starky,Stuart,AZ,US Representative,4,No
Zahradka,Tawnja,MN,US Representative,6,No
Williams,Vangie,VA,US Representative,1,No
Quilter,Peter,AZ,US Representative,2,No
Castaldo,Richie,OK,US Representative,2,No
Beardsley,Michael,WI,US Representative,6,No
Rood,Bill,MN,US Representative,1,No
Khanna,Ro,CA,US Representative,17,Yes
Walsingham,Blair,TN,US Representative,1,No
Musselwhite,Bob,AZ,US Representative,8,No
Castle,Jaime,OH,US Representative,2,No
Olson,Kim,TX,US Representative,24,No
Kahn,Kevin,OH,US Representative,1,No
Hassan,Ahmad R.,MN,US Senator,,No
Potter,Quentin,OH,US Representative,7,No
Ross,Gena,MO,US Representative,6,No
Bailey,Corey,WA,US Representative,8,No
Wilson,Dave,WA,US Representative,5,No
Tims,Desiree,OH,US Representative,10,No
Turley,Mark,DE,US Senator,,No